Fecha,Festivo,Zona_de_Carga
01/05/2017,Dia Del Trabajo,APATZINGAN
01/05/2017,Dia Del Trabajo,MORELIA
01/05/2017,Dia Del Trabajo,URUAPAN
01/05/2017,Dia Del Trabajo,ZACAPU
01/05/2017,Dia Del Trabajo,ZAMORA
01/05/2017,Dia Del Trabajo,TEPIC VALLARTA 
01/05/2017,Dia Del Trabajo,SAN JUAN DEL RIO
01/05/2017,Dia Del Trabajo,MATEHUALA
01/05/2017,Dia Del Trabajo,MINAS
01/05/2017,Dia Del Trabajo,AGUASCALIENTES
01/05/2017,Dia Del Trabajo,COLIMA 
01/05/2017,Dia Del Trabajo,QUERETARO
01/05/2017,Dia Del Trabajo,SAN LUIS POTOSI
01/05/2017,Dia Del Trabajo,ZACATECAS
10/05/2017,Dia De La Madre,FRESNILLO
10/05/2017,Dia De La Madre,MANZANILLO
10/05/2017,Dia De La Madre,CELAYA
10/05/2017,Dia De La Madre,IRAPUATO
10/05/2017,Dia De La Madre,LEON
10/05/2017,Dia De La Madre,SALVATIERRA
10/05/2017,Dia De La Madre,IXIMIQUILPAN
10/05/2017,Dia De La Madre,CIENEGA
10/05/2017,Dia De La Madre,GUADALAJARA
10/05/2017,Dia De La Madre,JIQUILPAN
10/05/2017,Dia De La Madre,LOS ALTOS 
